,,,,,,,,,,,,,,,,,
,Numéro de run,Date,Timer stream (heures),Mouettes,Split de Reset,Rubis après Glooong,Rubis dans les fleurs,Loterie,Deku Strat,Nbr Chu Bloqués Front,Nbr Tentatives Front,Nbr Chu Bloqués nez,Nbr Tentatives nez,Raison du Reset,,Stats,Nombre
,1,18/07/2024,,0,5,28,5,,1,2,5,0,1,13,,Nombre de runs,39
,2,20/07/2024,,1,5,29,3,,1,0,1,0,0,10,,Nombre de mouettes,65
,3,20/07/2024,,2,5,27,7,,1,1,1,1,1,12,,Moy des mouettes,"1,67"
,4,20/07/2024,02:12,2,5,32,3,,1,1,1,1,2,13,,Rubis moy gloong,"28,11"
,5,20/07/2024,02:50,1,2,34,,,0,,,,,5,,Rubis moy fleurs,"4,43"
,6,20/07/2024,03:11,2,8,30,,,2,,,,,2,,Rubis moy loterie ,2
,7,21/07/2024,01:29,2,5,28,4,,1,0,1,0,0,13,,Reset moyen,"5,67"
,8,21/07/2024,02:06,2,14,28,4,,2,,,,,18,,Reset median,5
,9,21/07/2024,03:17,1,5,31,4,,0,,,,,9,,Total chu bloqués front,8
,10,21/07/2024,03:53,1,12,30,,,1,0,1,0,0,19,,Total tentatives front,24
,11,22/07/2024,02:46,1,5,26,7,,0,,,,,10,,% de chu front,"33,33%"
,12,22/07/2024,03:21,2,5,24,0,,1,0,0,0,1,2,,Total chu bloqués nez,4
,13,27/07/2024,00:15,3,6,27,2,5,1,0,1,0,0,14,,Total tentatives nez,11
,14,27/07/2024,01:10,2,6,32,3,,1,0,1,0,0,14,,% de chu nez,"36,36%"
,15,27/07/2024,02:15,1,4,27,5,,0,,,,,6,,Total chu bloqués,12
,16,27/07/2024,02:46,1,13,27,2,,1,0,1,0,0,20,,Total tentatives,35
,17,28/07/2024,00:20,0,5,27,4,,1,0,1,0,0,13,,% de chu,"34,29%"
,18,28/07/2024,01:09,3,2,33,,,0,,,,,4,,Run > Deku,11
,19,28/07/2024,01:25,2,7,24,9,,1,0,1,0,0,15,,Run < Deku,8
,20,28/07/2024,02:08,1,1,,,,0,,,,,1,,Run = Deku,20
,21,28/07/2024,02:18,1,1,,,,0,,,,,1,,,
,22,28/07/2024,02:25,3,5,27,5,,0,,,,,8,,Notes :,
,23,28/07/2024,03:01,3,1,,,,0,,,,,2,,Chu bloqués = Qui empêche de réaliser le lip crush,
,24,28/07/2024,03:03,1,5,26,4,,1,1,1,0,1,12,,Ne pas remplir si jamais pas fait lors de la run (que ce soit Deku ou Lotterie),
,25,28/07/2024,03:44,3,5,26,3,1,1,0,1,0,0,13,,Pour les mouettes : + de la moitié visible sinon pas pris en compte,
,26,30/07/2024,03:26,2,2,30,,,0,,,,,4,,"Rubis dans fleurs = Rubis tombés, pas récupérés",
,27,30/07/2024,03:45,1,13,34,4,,1,0,1,0,0,20,,<3,
,28,02/08/2024,00:08,3,5,23,7,,1,0,0,0,1,13,,<3,
,29,02/08/2024,00:49,1,5,24,4,1,1,0,0,1,1,1,,<3,
,30,02/08/2024,01:28,1,5,21,2,1,1,1,1,0,0,12,,,
,31,02/08/2024,02:12,3,5,29,4,,0,,,,,1,,,
,32,02/08/2024,02:43,3,1,24,,,0,,,,,2,,"Si jamais, on voit vos noms sur le excel pour ceux qui font attention à l'anonymat ",
,33,02/08/2024,02:55,0,5,31,2,,0,,,,,8,,(C'est que les personnes qui travaillent dessus btw),
,34,02/08/2024,03:36,2,8,26,4,,1,1,1,0,1,13,,,
,35,03/08/2024,00:27,3,14,31,6,,2,,,,,0,,Btw tout le monde est libre de faire une demande,
,36,03/08/2024,01:50,2,5,29,10,,1,0,2,1,1,12,,Je répondrais au plus vite,
,37,03/08/2024,02:27,0,5,30,,,0,,,,,9,,<3,
,38,03/08/2024,03:06,2,5,26,7,,1,0,1,0,0,9,,,
,39,03/08/2024,03:46,1,6,31,,,1,1,1,0,1,14,,,
